timestamp,city,club,address,occupancy
2026-05-02T00:03:39Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-05-02T00:03:39Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-05-02T00:03:39Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,3
2026-05-02T00:03:39Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-05-02T00:03:39Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-05-02T00:03:39Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,100
2026-05-02T00:03:39Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,100
2026-05-02T00:03:39Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-05-02T00:03:39Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-05-02T00:03:39Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-05-02T00:03:39Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-05-02T00:03:39Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,2
2026-05-02T00:03:39Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,2
2026-05-02T01:06:18Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-05-02T01:06:18Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-05-02T01:06:18Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-05-02T01:06:18Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-05-02T01:06:18Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-05-02T01:06:18Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-05-02T01:06:18Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-05-02T01:06:18Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-05-02T01:06:18Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-05-02T01:06:18Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-05-02T01:06:18Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-05-02T01:06:18Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-05-02T01:06:18Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-05-02T01:56:49Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-05-02T01:56:49Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-05-02T01:56:49Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-05-02T01:56:49Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-05-02T01:56:49Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,100
2026-05-02T01:56:49Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-05-02T01:56:49Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,0
2026-05-02T01:56:49Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-05-02T01:56:49Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,0
2026-05-02T01:56:49Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,100
2026-05-02T01:56:49Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-05-02T01:56:49Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-05-02T01:56:49Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-05-02T01:56:49Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,100
2026-05-02T01:56:49Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,100
2026-05-02T01:56:49Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
