timestamp,city,club,address,occupancy
2026-04-27T00:47:15Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-04-27T00:47:15Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-04-27T00:47:15Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-04-27T00:47:15Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-04-27T00:47:15Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-04-27T00:47:15Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,0
2026-04-27T00:47:15Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-04-27T00:47:15Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-04-27T00:47:15Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-04-27T00:47:15Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-04-27T00:47:15Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-04-27T00:47:15Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-04-27T00:47:15Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,100
2026-04-27T00:47:15Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-04-27T00:47:15Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-04-27T00:47:15Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-04-27T00:47:15Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,100
2026-04-27T00:47:15Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-04-27T01:39:44Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-04-27T01:39:44Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-04-27T01:39:44Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-04-27T01:39:44Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-04-27T01:39:44Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,0
2026-04-27T01:39:44Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-04-27T01:39:44Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-04-27T01:39:44Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-04-27T01:39:44Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-04-27T01:39:44Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-04-27T01:39:44Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-04-27T01:39:44Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-04-27T01:39:44Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-04-27T01:39:44Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-04-27T01:39:44Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-04-27T01:39:44Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,0
2026-04-27T01:39:44Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-04-27T01:39:44Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-04-27T02:40:30Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,1
2026-04-27T02:40:30Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,3
2026-04-27T02:40:30Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
